Sample	Sex	popCode	popGroup
NA20503	F	TSI	EUR
NA20321	F	ASW	AFR
NA20412	F	ASW	AFR
NA20508	F	TSI	EUR
NA20506	F	TSI	EUR
NA19764	F	MXL	AMR
NA20544	M	TSI	EUR
NA20504	F	TSI	EUR
NA20582	F	TSI	EUR
NA20317	F	ASW	AFR
NA20351	M	ASW	AFR
NA20340	M	ASW	AFR
NA20587	F	TSI	EUR
NA20356	M	ASW	AFR
NA20753	F	TSI	EUR
NA19904	M	ASW	AFR
NA20527	M	TSI	EUR
NA20357	F	ASW	AFR
NA19909	F	ASW	AFR
NA20534	M	TSI	EUR
NA20542	F	TSI	EUR
NA20828	F	TSI	EUR
NA19916	M	ASW	AFR
NA20539	M	TSI	EUR
NA20585	F	TSI	EUR
NA20847	F	GIH	SAS
NA20541	F	TSI	EUR
NA20756	F	TSI	EUR
NA20525	M	TSI	EUR
NA20801	M	TSI	EUR
NA20802	F	TSI	EUR
NA20532	M	TSI	EUR
NA20806	M	TSI	EUR
NA20807	F	TSI	EUR
NA20813	F	TSI	EUR
NA20814	M	TSI	EUR
NA20513	M	TSI	EUR
NA20773	F	TSI	EUR
NA20774	F	TSI	EUR
NA20509	M	TSI	EUR
NA20518	M	TSI	EUR
NA20778	M	TSI	EUR
NA20786	F	TSI	EUR
NA20511	M	TSI	EUR
NA20520	M	TSI	EUR
NA20785	M	TSI	EUR
NA20798	M	TSI	EUR
NA20516	M	TSI	EUR
NA20804	F	TSI	EUR
NA20792	M	TSI	EUR
NA20510	M	TSI	EUR
NA20775	F	TSI	EUR
NA20809	M	TSI	EUR
NA20797	F	TSI	EUR
NA20515	M	TSI	EUR
NA20787	M	TSI	EUR
NA20811	M	TSI	EUR
NA20800	F	TSI	EUR
NA20522	F	TSI	EUR
NA20799	F	TSI	EUR
NA20758	M	TSI	EUR
NA20818	F	TSI	EUR
NA20528	M	TSI	EUR
NA20760	F	TSI	EUR
NA20533	F	TSI	EUR
NA20832	F	TSI	EUR
NA20530	F	TSI	EUR
NA20765	M	TSI	EUR
NA20538	M	TSI	EUR
NA20849	F	GIH	SAS
NA20535	F	TSI	EUR
NA20854	F	GIH	SAS
NA20540	F	TSI	EUR
NA20589	F	TSI	EUR
NA20763	M	TSI	EUR
NA20859	F	GIH	SAS
NA20874	F	GIH	SAS
NA20755	M	TSI	EUR
NA20768	F	TSI	EUR
NA20861	M	GIH	SAS
NA20762	M	TSI	EUR
NA20770	M	TSI	EUR
NA20866	M	GIH	SAS
NA20881	F	GIH	SAS
NA20767	M	TSI	EUR
NA20819	F	TSI	EUR
NA20772	F	TSI	EUR
NA20886	F	GIH	SAS
NA21133	M	GIH	SAS
NA20821	F	TSI	EUR
NA20796	M	TSI	EUR
NA20514	F	TSI	EUR
NA20826	F	TSI	EUR
NA20519	M	TSI	EUR
NA20851	F	GIH	SAS
NA20845	M	GIH	SAS
NA20521	M	TSI	EUR
NA20856	F	GIH	SAS
NA20903	M	GIH	SAS
NA20759	M	TSI	EUR
NA20863	M	GIH	SAS
NA20908	F	GIH	SAS
NA20761	F	TSI	EUR
NA20868	F	GIH	SAS
NA20910	F	GIH	SAS
NA20766	F	TSI	EUR
NA20870	M	GIH	SAS
NA21088	F	GIH	SAS
NA21114	M	GIH	SAS
NA21090	M	GIH	SAS
NA21119	M	GIH	SAS
NA20850	M	GIH	SAS
NA20876	F	GIH	SAS
NA20805	M	TSI	EUR
NA21126	M	GIH	SAS
NA20812	M	TSI	EUR
NA21094	M	GIH	SAS
NA20888	F	GIH	SAS
NA20588	M	TSI	EUR
NA21099	M	GIH	SAS
NA20754	M	TSI	EUR
NA21102	F	GIH	SAS
NA20878	F	GIH	SAS
NA20862	F	GIH	SAS
NA21107	M	GIH	SAS
NA20885	M	GIH	SAS
NA20867	M	GIH	SAS
NA20892	F	GIH	SAS
NA21137	F	GIH	SAS
NA21087	M	GIH	SAS
NA21127	M	GIH	SAS
NA20897	M	GIH	SAS
NA21144	F	GIH	SAS
NA20894	F	GIH	SAS
NA20900	F	GIH	SAS
NA20899	F	GIH	SAS
NA21141	F	GIH	SAS
NA21112	M	GIH	SAS
NA20902	F	GIH	SAS
NA21095	M	GIH	SAS
NA21117	M	GIH	SAS
NA20875	F	GIH	SAS
NA21103	F	GIH	SAS
NA21124	M	GIH	SAS
NA20882	F	GIH	SAS
NA21108	F	GIH	SAS
NA21097	F	GIH	SAS
NA20887	M	GIH	SAS
NA21110	F	GIH	SAS
NA21100	M	GIH	SAS
NA20890	M	GIH	SAS
NA21105	M	GIH	SAS
NA20895	M	GIH	SAS
NA21129	M	GIH	SAS
NA20852	M	GIH	SAS
NA21143	F	GIH	SAS
NA20864	M	GIH	SAS
NA20905	M	GIH	SAS
NA20869	F	GIH	SAS
NA21092	M	GIH	SAS
NA20901	M	GIH	SAS
NA21115	M	GIH	SAS
NA21113	M	GIH	SAS
NA21122	F	GIH	SAS
NA21118	M	GIH	SAS
NA21120	F	GIH	SAS
NA21125	F	GIH	SAS
NA21098	M	GIH	SAS
NA21101	F	GIH	SAS
NA21106	F	GIH	SAS
NA20906	F	GIH	SAS
NA21086	F	GIH	SAS
NA21093	M	GIH	SAS
HG00099	F	GBR	EUR
HG00102	F	GBR	EUR
HG00107	M	GBR	EUR
HG00188	M	FIN	EUR
HG00190	M	FIN	EUR
HG00234	M	GBR	EUR
HG00239	F	GBR	EUR
HG00114	M	GBR	EUR
HG00119	M	GBR	EUR
HG00121	F	GBR	EUR
HG00246	M	GBR	EUR
HG00253	F	GBR	EUR
HG00258	F	GBR	EUR
HG00260	M	GBR	EUR
HG00126	M	GBR	EUR
HG00133	F	GBR	EUR
HG00138	M	GBR	EUR
HG00140	M	GBR	EUR
HG00284	M	FIN	EUR
HG00304	F	FIN	EUR
HG00309	F	FIN	EUR
HG00311	M	FIN	EUR
HG00265	M	GBR	EUR
HG00272	F	FIN	EUR
HG00277	M	FIN	EUR
HG00145	M	GBR	EUR
HG00157	M	GBR	EUR
HG00171	F	FIN	EUR
HG00176	F	FIN	EUR
HG00183	M	FIN	EUR
HG00323	F	FIN	EUR
HG00328	F	FIN	EUR
HG00330	F	FIN	EUR
HG00479	F	CHS	EAS
HG00513	F	CHS	EAS
HG00525	F	CHS	EAS
HG00537	F	CHS	EAS
HG00551	F	PUR	AMR
HG00556	M	CHS	EAS
HG00436	M	CHS	EAS
HG00443	F	CHS	EAS
HG00378	F	FIN	EUR
HG00380	F	FIN	EUR
HG00448	M	CHS	EAS
HG00599	F	CHS	EAS
HG00607	M	CHS	EAS
HG00361	F	FIN	EUR
HG00366	M	FIN	EUR
HG00373	F	FIN	EUR
HG00335	M	FIN	EUR
HG00342	M	FIN	EUR
HG00683	M	CHS	EAS
HG00690	F	CHS	EAS
HG00614	F	CHS	EAS
HG00619	M	CHS	EAS
HG00626	F	CHS	EAS
HG00657	F	CHS	EAS
HG00671	M	CHS	EAS
HG01080	F	PUR	AMR
HG01085	M	PUR	AMR
HG01092	F	PUR	AMR
HG01097	M	PUR	AMR
HG00638	F	PUR	AMR
HG00640	M	PUR	AMR
HG01028	M	CDX	EAS
HG01047	M	PUR	AMR
HG01054	M	PUR	AMR
HG00739	M	PUR	AMR
HG00708	F	CHS	EAS
HG00734	F	PUR	AMR
HG01061	F	PUR	AMR
HG01066	M	PUR	AMR
HG01073	F	PUR	AMR
HG01148	M	CLM	AMR
HG01162	F	PUR	AMR
HG01167	M	PUR	AMR
HG01174	F	PUR	AMR
HG01251	F	CLM	AMR
HG01256	M	CLM	AMR
HG01105	F	PUR	AMR
HG01112	M	CLM	AMR
HG01357	F	CLM	AMR
HG01369	F	CLM	AMR
HG01124	M	CLM	AMR
HG01131	F	CLM	AMR
HG01136	M	CLM	AMR
HG01345	F	CLM	AMR
HG01302	M	PUR	AMR
HG01326	F	PUR	AMR
HG01275	F	CLM	AMR
HG01198	F	PUR	AMR
HG01504	F	IBS	EUR
HG01509	M	IBS	EUR
HG01516	F	IBS	EUR
HG01383	M	CLM	AMR
HG01390	F	CLM	AMR
HG01395	M	PUR	AMR
HG01597	F	KHV	EAS
HG01600	F	KHV	EAS
HG01605	F	IBS	EUR
HG01566	F	PEL	AMR
HG01578	F	PEL	AMR
HG01403	F	PUR	AMR
HG01489	F	CLM	AMR
HG01491	M	CLM	AMR
HG01528	F	IBS	EUR
HG01530	M	IBS	EUR
HG01465	F	CLM	AMR
HG01441	F	CLM	AMR
HG01756	M	IBS	EUR
HG01768	F	IBS	EUR
HG01770	F	IBS	EUR
HG01775	M	IBS	EUR
HG01679	F	IBS	EUR
HG01686	M	IBS	EUR
HG01794	F	CDX	EAS
HG01631	M	IBS	EUR
HG01612	F	IBS	EUR
HG01617	M	IBS	EUR
HG01624	M	IBS	EUR
HG01857	F	KHV	EAS
HG01864	M	KHV	EAS
HG01869	F	KHV	EAS
HG01871	F	KHV	EAS
HG01840	M	KHV	EAS
HG01845	F	KHV	EAS
HG01852	M	KHV	EAS
HG01799	F	CDX	EAS
HG01802	F	CDX	EAS
HG01807	F	CDX	EAS
HG01977	M	PEL	AMR
HG01989	F	ACB	AFR
HG01991	M	PEL	AMR
HG01958	F	ACB	AFR
HG01965	F	PEL	AMR
HG01939	F	PEL	AMR
HG01941	M	PEL	AMR
HG01953	M	PEL	AMR
HG02040	M	KHV	EAS
HG02052	F	ACB	AFR
HG02057	F	KHV	EAS
HG02019	F	KHV	EAS
HG02026	M	KHV	EAS
HG01927	F	PEL	AMR
HG01890	M	ACB	AFR
HG01915	F	ACB	AFR
HG02002	M	PEL	AMR
HG02014	M	ACB	AFR
HG01883	F	ACB	AFR
HG02088	M	KHV	EAS
HG02090	M	PEL	AMR
HG02095	F	ACB	AFR
HG02134	M	KHV	EAS
HG02139	F	KHV	EAS
HG02141	M	KHV	EAS
HG02146	M	PEL	AMR
HG02278	F	PEL	AMR
HG02285	M	PEL	AMR
HG02292	F	PEL	AMR
HG02259	M	PEL	AMR
HG02266	F	PEL	AMR
HG02064	M	KHV	EAS
HG02069	F	KHV	EAS
HG02076	M	KHV	EAS
HG02108	F	ACB	AFR
HG02122	M	KHV	EAS
HG02127	F	KHV	EAS
HG02184	F	CDX	EAS
HG02223	F	IBS	EUR
HG02230	F	IBS	EUR
HG02235	F	IBS	EUR
HG02153	F	CDX	EAS
HG02165	F	CDX	EAS
HG02502	F	ACB	AFR
HG02521	M	KHV	EAS
HG02545	M	ACB	AFR
HG02449	M	ACB	AFR
HG02470	M	ACB	AFR
HG02406	M	CDX	EAS
HG02420	M	ACB	AFR
HG02425	F	PEL	AMR
HG02312	F	PEL	AMR
HG02317	M	ACB	AFR
HG02557	M	ACB	AFR
HG02571	F	GWD	AFR
HG02367	M	CDX	EAS
HG02374	M	CDX	EAS
HG02379	M	CDX	EAS
HG02343	M	ACB	AFR
HG02348	F	PEL	AMR
HG02355	M	CDX	EAS
HG02386	M	CDX	EAS
HG02398	M	CDX	EAS
HG02401	M	CDX	EAS
HG02494	F	PJL	SAS
HG02691	F	PJL	SAS
HG02696	M	PJL	SAS
HG02716	F	GWD	AFR
HG02728	F	PJL	SAS
HG02778	F	PJL	SAS
HG02780	M	PJL	SAS
HG02603	M	PJL	SAS
HG02610	M	GWD	AFR
HG02583	F	GWD	AFR
HG02588	M	GWD	AFR
HG02595	F	GWD	AFR
HG02684	M	PJL	SAS
HG02634	M	GWD	AFR
HG02646	F	GWD	AFR
HG02658	F	PJL	SAS
HG02660	M	PJL	SAS
HG02759	M	GWD	AFR
HG02792	M	PJL	SAS
HG02805	F	GWD	AFR
HG03012	M	BEB	SAS
HG03024	M	GWD	AFR
HG02855	F	GWD	AFR
HG02879	F	GWD	AFR
HG02881	M	GWD	AFR
HG02970	F	ESN	AFR
HG02982	M	GWD	AFR
HG03048	M	GWD	AFR
HG03055	F	MSL	AFR
HG03074	M	MSL	AFR
HG02817	F	GWD	AFR
HG02836	M	GWD	AFR
HG02944	M	ESN	AFR
HG02968	M	ESN	AFR
HG03199	M	ESN	AFR
HG03202	M	ESN	AFR
HG03238	F	PJL	SAS
HG03303	F	ESN	AFR
HG03118	M	ESN	AFR
HG03120	M	ESN	AFR
HG03132	F	ESN	AFR
HG03079	F	MSL	AFR
HG03081	M	MSL	AFR
HG03086	F	MSL	AFR
HG03168	F	ESN	AFR
HG03175	M	ESN	AFR
HG03240	M	GWD	AFR
HG03271	M	ESN	AFR
HG03295	M	ESN	AFR
HG03163	M	ESN	AFR
HG03473	F	MSL	AFR
HG03478	M	MSL	AFR
HG03485	F	MSL	AFR
HG03461	F	MSL	AFR
HG03428	F	MSL	AFR
HG03442	M	MSL	AFR
HG03517	F	ESN	AFR
HG03567	F	MSL	AFR
HG03593	M	BEB	SAS
HG03598	F	BEB	SAS
HG03372	F	ESN	AFR
HG03391	M	MSL	AFR
HG03548	F	MSL	AFR
HG03644	M	STU	SAS
HG03649	M	PJL	SAS
HG03663	M	PJL	SAS
HG03668	F	PJL	SAS
HG03694	M	STU	SAS
HG03702	M	PJL	SAS
HG03757	F	STU	SAS
HG03771	M	ITU	SAS
HG03733	F	STU	SAS
HG03738	M	STU	SAS
HG03740	M	STU	SAS
HG03745	M	STU	SAS
HG03752	F	STU	SAS
HG03625	F	PJL	SAS
HG03803	M	BEB	SAS
HG03808	F	BEB	SAS
HG03714	F	ITU	SAS
HG03788	M	ITU	SAS
HG03790	M	ITU	SAS
HG03687	M	STU	SAS
HG03973	F	ITU	SAS
HG03978	M	ITU	SAS
HG03985	M	STU	SAS
HG03911	M	BEB	SAS
HG03916	F	BEB	SAS
HG03846	M	STU	SAS
HG03947	F	STU	SAS
HG03884	F	STU	SAS
HG03896	M	STU	SAS
HG03815	M	BEB	SAS
HG04003	M	STU	SAS
HG04015	M	ITU	SAS
HG04022	M	ITU	SAS
HG03928	F	BEB	SAS
HG03858	F	STU	SAS
HG03872	M	ITU	SAS
NA06985	F	CEU	EUR
HG04212	F	ITU	SAS
HG04229	M	STU	SAS
HG04200	F	ITU	SAS
HG04159	F	BEB	SAS
HG04161	M	BEB	SAS
HG04173	M	BEB	SAS
HG04180	F	BEB	SAS
HG04185	M	BEB	SAS
HG04039	M	STU	SAS
HG04060	M	ITU	SAS
HG04096	M	ITU	SAS
NA12778	F	CEU	EUR
NA12812	M	CEU	EUR
NA12348	F	CEU	EUR
NA12413	M	CEU	EUR
NA12829	M	CEU	EUR
NA12843	F	CEU	EUR
NA12874	M	CEU	EUR
NA12273	F	CEU	EUR
NA11840	F	CEU	EUR
NA12045	M	CEU	EUR
NA10847	F	CEU	EUR
NA12716	M	CEU	EUR
NA12761	F	CEU	EUR
NA18745	M	CHB	EAS
NA18757	M	CHB	EAS
NA18853	M	YRI	AFR
NA18858	F	YRI	AFR
NA18618	F	CHB	EAS
NA18620	M	CHB	EAS
NA18625	F	CHB	EAS
NA18632	M	CHB	EAS
NA18567	F	CHB	EAS
NA18574	F	CHB	EAS
NA18579	F	CHB	EAS
NA18593	F	CHB	EAS
NA18548	M	CHB	EAS
NA18550	F	CHB	EAS
NA18555	F	CHB	EAS
NA18562	M	CHB	EAS
NA18505	F	YRI	AFR
NA18517	F	YRI	AFR
NA18637	M	CHB	EAS
NA18644	F	CHB	EAS
NA18740	M	CHB	EAS
NA18865	M	YRI	AFR
NA18877	M	YRI	AFR
NA18531	F	CHB	EAS
NA18536	M	CHB	EAS
NA18543	M	CHB	EAS
NA18606	M	CHB	EAS
NA18613	M	CHB	EAS
NA18909	F	YRI	AFR
NA18916	F	YRI	AFR
NA18923	M	YRI	AFR
NA18942	F	JPT	EAS
NA18947	F	JPT	EAS
NA19027	M	LWK	AFR
NA19041	M	LWK	AFR
NA19058	M	JPT	EAS
NA19060	M	JPT	EAS
NA19065	F	JPT	EAS
NA19072	M	JPT	EAS
NA18954	F	JPT	EAS
NA18959	M	JPT	EAS
NA18961	M	JPT	EAS
NA18966	M	JPT	EAS
NA18985	M	JPT	EAS
NA18992	F	JPT	EAS
NA18997	F	JPT	EAS
NA19077	F	JPT	EAS
NA19084	F	JPT	EAS
NA19089	M	JPT	EAS
NA18973	F	JPT	EAS
NA18978	F	JPT	EAS
NA18980	F	JPT	EAS
NA19003	F	JPT	EAS
NA19010	F	JPT	EAS
NA19159	F	YRI	AFR
NA19185	F	YRI	AFR
NA19116	F	YRI	AFR
NA19130	M	YRI	AFR
NA19197	F	YRI	AFR
NA19200	M	YRI	AFR
NA19091	M	JPT	EAS
NA19096	M	YRI	AFR
NA19248	M	YRI	AFR
NA19236	M	YRI	AFR
NA19147	F	YRI	AFR
NA19318	M	LWK	AFR
NA19320	F	LWK	AFR
NA19332	F	LWK	AFR
NA19351	F	LWK	AFR
NA19375	M	LWK	AFR
NA19678	F	MXL	AMR
NA19700	M	ASW	AFR
NA19712	F	ASW	AFR
NA19717	M	MXL	AMR
NA19394	M	LWK	AFR
NA19399	F	LWK	AFR
NA19438	F	LWK	AFR
NA19440	F	LWK	AFR
NA19445	F	LWK	AFR
NA19750	M	MXL	AMR
NA19755	F	MXL	AMR
NA19762	M	MXL	AMR
NA19729	M	MXL	AMR
NA19731	F	MXL	AMR
NA19452	M	LWK	AFR
NA19457	F	LWK	AFR
NA19471	F	LWK	AFR
NA19654	F	MXL	AMR
NA19661	M	MXL	AMR
NA19774	M	MXL	AMR
NA19779	F	MXL	AMR
NA19786	M	MXL	AMR
NA20505	F	TSI	EUR
NA19914	F	ASW	AFR
NA19921	F	ASW	AFR
NA20339	F	ASW	AFR
NA20346	M	ASW	AFR
NA20512	M	TSI	EUR
NA20517	F	TSI	EUR
NA20524	M	TSI	EUR
NA19818	M	ASW	AFR
NA20334	F	ASW	AFR
NA20276	F	ASW	AFR
NA20757	F	TSI	EUR
NA20764	F	TSI	EUR
NA20769	F	TSI	EUR
NA20771	F	TSI	EUR
NA20543	M	TSI	EUR
NA20581	M	TSI	EUR
NA20586	M	TSI	EUR
NA20752	M	TSI	EUR
NA20803	M	TSI	EUR
NA20808	F	TSI	EUR
NA20810	M	TSI	EUR
NA20815	M	TSI	EUR
NA20529	F	TSI	EUR
NA20531	F	TSI	EUR
NA20536	M	TSI	EUR
NA20783	M	TSI	EUR
NA20790	F	TSI	EUR
NA20795	F	TSI	EUR
NA20889	M	GIH	SAS
NA20891	M	GIH	SAS
NA20896	F	GIH	SAS
NA20822	F	TSI	EUR
NA20827	M	TSI	EUR
NA20846	M	GIH	SAS
NA20872	F	GIH	SAS
NA20877	F	GIH	SAS
NA20884	M	GIH	SAS
NA20853	F	GIH	SAS
NA20858	M	GIH	SAS
NA21128	M	GIH	SAS
NA21130	M	GIH	SAS
NA21135	M	GIH	SAS
NA21142	F	GIH	SAS
NA20904	M	GIH	SAS
NA20911	M	GIH	SAS
NA21089	F	GIH	SAS
NA21091	M	GIH	SAS
NA21111	M	GIH	SAS
NA21116	M	GIH	SAS
NA21123	M	GIH	SAS
NA21104	M	GIH	SAS
NA21109	M	GIH	SAS
